epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,538.106,1.538,2.63803,1.27681,0.57668,0.51057,0.56649,0.31961,1.43028,2.35371,1.24834,0.000472779,0.000472779,0.000472779
2,1018.23,1.51731,1.88803,1.24653,0.64741,0.64677,0.65501,0.36253,1.49844,1.88763,1.31232,0.00093032,0.00093032,0.00093032
3,1357.83,1.5164,1.70449,1.28617,0.7031,0.60407,0.66994,0.34956,1.53721,1.7202,1.36096,0.001369,0.001369,0.001369
4,1701.78,1.52849,1.58659,1.26537,0.67532,0.72249,0.70369,0.39698,1.42679,1.46286,1.30755,0.00134412,0.00134412,0.00134412
5,2045.2,1.49659,1.43642,1.25,0.64585,0.67772,0.69257,0.38527,1.50914,1.30113,1.29716,0.00131582,0.00131582,0.00131582
6,2389.69,1.50167,1.36679,1.23326,0.67088,0.7026,0.70742,0.40085,1.45214,1.36245,1.26396,0.00128753,0.00128753,0.00128753
7,2750.08,1.46837,1.29587,1.24215,0.7212,0.7446,0.75249,0.43245,1.44482,1.1417,1.25663,0.00125923,0.00125923,0.00125923
8,3106.09,1.42356,1.22876,1.22211,0.71181,0.78773,0.80118,0.46174,1.41905,1.08693,1.22999,0.00123094,0.00123094,0.00123094
9,3453.1,1.40097,1.14548,1.2192,0.77626,0.75704,0.78809,0.44725,1.43247,1.04015,1.25815,0.00120265,0.00120265,0.00120265
10,3812.73,1.43704,1.13217,1.22332,0.74167,0.77302,0.75451,0.44303,1.41462,1.05159,1.25089,0.00117435,0.00117435,0.00117435
11,4156.82,1.41808,1.09637,1.21482,0.80874,0.73963,0.79658,0.4581,1.398,0.96752,1.24113,0.00114606,0.00114606,0.00114606
12,4526.33,1.39648,1.08535,1.20103,0.77791,0.75967,0.79946,0.47046,1.38561,0.94875,1.21829,0.00111776,0.00111776,0.00111776
13,4883.31,1.40652,1.05447,1.20427,0.78988,0.73892,0.78804,0.46634,1.39203,0.98261,1.23381,0.00108947,0.00108947,0.00108947
14,5250.01,1.39815,1.03003,1.19067,0.75639,0.74349,0.79549,0.46373,1.39428,1.00028,1.22592,0.00106118,0.00106118,0.00106118
15,5622.43,1.38912,1.00742,1.20931,0.82113,0.75356,0.81141,0.47878,1.37185,0.92734,1.2119,0.00103288,0.00103288,0.00103288
16,5978.98,1.35945,0.95242,1.19376,0.78409,0.75787,0.8166,0.48006,1.40345,0.91975,1.2396,0.00100459,0.00100459,0.00100459
17,6343.29,1.34378,0.97356,1.18381,0.78452,0.75262,0.80641,0.47472,1.41298,0.91036,1.24322,0.000976293,0.000976293,0.000976293
18,6719.69,1.36079,0.93631,1.18421,0.78871,0.78014,0.80679,0.45999,1.3933,0.91521,1.22578,0.000947999,0.000947999,0.000947999
19,7084.69,1.34547,0.93598,1.18487,0.81043,0.75128,0.82582,0.49192,1.35447,0.86437,1.2058,0.000919704,0.000919704,0.000919704
20,7439.23,1.31239,0.89252,1.174,0.79402,0.76506,0.80356,0.47804,1.39764,0.88007,1.22152,0.00089141,0.00089141,0.00089141
21,7920.23,1.32247,0.90666,1.16034,0.84379,0.7856,0.82968,0.48248,1.391,0.84596,1.22367,0.000863116,0.000863116,0.000863116
22,8302.97,1.30145,0.86319,1.15645,0.81817,0.79507,0.83098,0.49471,1.37195,0.82545,1.20677,0.000834822,0.000834822,0.000834822
23,8655.38,1.29694,0.86024,1.15703,0.7888,0.78834,0.82116,0.48689,1.38589,0.82239,1.21457,0.000806528,0.000806528,0.000806528
24,9009.35,1.32281,0.87976,1.16777,0.7885,0.77873,0.81176,0.48099,1.394,0.83486,1.22057,0.000778233,0.000778233,0.000778233
25,9368.72,1.25212,0.84369,1.13651,0.81695,0.75888,0.81806,0.4883,1.38591,0.83631,1.21413,0.000749939,0.000749939,0.000749939
26,10016.7,1.26897,0.83114,1.14319,0.79508,0.81405,0.82486,0.48738,1.3691,0.81085,1.20279,0.000721645,0.000721645,0.000721645
27,10362.6,1.27484,0.81783,1.13983,0.79246,0.80171,0.82324,0.48903,1.3892,0.81649,1.21735,0.000693351,0.000693351,0.000693351
28,10705.6,1.2676,0.7902,1.13972,0.82564,0.79443,0.83119,0.49262,1.38181,0.79011,1.21558,0.000665057,0.000665057,0.000665057
